tenure,MonthlyCharges,Contract,TotalCharges
21,64.85,One year,1336.8
54,97.2,Two year,5129.45
1,23.45,Month-to-month,23.45
4,70.2,Month-to-month,237.95
0,61.9,Two year,0.0
7,69.55,Month-to-month,521.35
32,18.95,Two year,613.95
72,19.8,Two year,1414.65
19,39.65,Month-to-month,733.35
10,19.95,One year,219.5
21,69.1,Month-to-month,1474.75
45,70.05,Month-to-month,3062.45
32,19.8,One year,587.7
40,105.75,One year,4228.55
47,41.9,Two year,1875.25
36,53.1,Two year,1901.25
69,105.1,One year,7234.8
71,80.7,Two year,5705.05
71,24.65,Two year,1710.15
35,53.15,One year,1930.9
3,54.65,Month-to-month,189.1
72,109.7,Two year,7898.45
72,90.6,Two year,6441.85
68,73.0,One year,5163.0
42,54.75,One year,2348.45
21,20.5,One year,429.55
8,92.1,Month-to-month,729.95
10,75.3,Month-to-month,720.45
71,106.75,Two year,7283.25
46,91.3,One year,4126.35
3,80.0,Month-to-month,241.3
12,91.3,Month-to-month,1094.5
26,47.85,One year,1190.5
3,50.15,Month-to-month,160.85
49,74.45,Two year,3721.9
33,80.6,Two year,2651.1
42,94.4,Month-to-month,4014.6
31,75.25,One year,2344.5
68,107.15,One year,7379.8
66,116.25,One year,7862.25
58,19.55,One year,1108.8
35,20.1,Two year,655.3
1,20.2,Month-to-month,20.2
40,74.8,Month-to-month,2971.7
13,76.2,Month-to-month,981.45
57,55.7,Month-to-month,3171.6
1,75.3,Month-to-month,75.3
1,45.7,Month-to-month,45.7
46,54.35,Two year,2460.15
40,94.55,Month-to-month,3640.45
21,77.5,One year,1625.0
6,98.15,Month-to-month,567.45
59,111.1,Two year,6555.2
15,58.6,Month-to-month,939.7
27,94.55,Month-to-month,2724.6
71,116.3,One year,8309.55
45,89.3,Month-to-month,4192.15
4,20.7,Month-to-month,73.05
1,19.6,Month-to-month,19.6
47,99.35,Month-to-month,4749.15
34,49.8,Month-to-month,1734.2
18,54.4,One year,957.1
8,54.25,One year,447.75
7,35.5,One year,249.55
5,84.5,Month-to-month,453.75
39,59.3,One year,2209.15
29,20.65,Month-to-month,654.85
1,55.2,Month-to-month,55.2
31,25.0,Month-to-month,789.2
2,24.3,Month-to-month,38.45
63,70.8,One year,4448.8
20,78.8,Month-to-month,1641.3
71,83.3,Two year,5894.5
66,61.15,Two year,4017.45
8,45.15,Month-to-month,438.4
2,96.0,Month-to-month,174.8
3,35.1,Month-to-month,101.1
47,20.25,Two year,1029.8
2,49.25,Month-to-month,90.35
1,74.0,Month-to-month,74.0
7,20.25,One year,129.15
69,105.0,Two year,7297.75
5,105.3,Month-to-month,550.6
71,19.6,Two year,1416.5
1,74.3,Month-to-month,74.3
14,89.65,Month-to-month,1208.35
29,19.35,Month-to-month,601.6
56,81.8,Two year,4534.45
