tenure,MonthlyCharges,Contract,TotalCharges,Churn
1,29.85,Month-to-month,29.85,No
34,56.95,One year,1889.5,No
2,53.85,Month-to-month,108.15,Yes
45,42.3,One year,1840.75,No
2,70.7,Month-to-month,151.65,Yes
8,99.65,Month-to-month,820.5,Yes
22,89.1,Month-to-month,1949.4,No
10,29.75,Month-to-month,301.9,No
28,104.8,Month-to-month,3046.05,Yes
62,56.15,One year,3487.95,No
13,49.95,Month-to-month,587.45,No
16,18.95,Two year,326.8,No
58,100.35,One year,5681.1,No
49,103.7,Month-to-month,5036.3,Yes
25,105.5,Month-to-month,2686.05,No
69,113.25,Two year,7895.15,No
52,20.65,One year,1022.95,No
71,106.7,Two year,7382.25,No
10,55.2,Month-to-month,528.35,Yes
21,90.05,Month-to-month,1862.9,No
1,39.65,Month-to-month,39.65,Yes
12,19.8,One year,202.25,No
1,20.15,Month-to-month,20.15,Yes
58,59.9,Two year,3505.1,No
49,59.6,Month-to-month,2970.3,No
30,55.3,Month-to-month,1530.6,No
47,99.35,Month-to-month,4749.15,Yes
1,30.2,Month-to-month,30.2,Yes
72,90.25,Two year,6369.45,No
17,64.7,Month-to-month,1093.1,Yes
71,96.35,Two year,6766.95,No
2,95.5,Month-to-month,181.65,No
27,66.15,One year,1874.45,No
1,20.2,Month-to-month,20.2,No
1,45.25,Month-to-month,45.25,No
72,99.9,Two year,7251.7,No
5,69.7,Month-to-month,316.9,Yes
46,74.8,Month-to-month,3548.3,No
34,106.35,Month-to-month,3549.25,Yes
11,97.85,Month-to-month,1105.4,Yes
10,49.55,One year,475.7,No
70,69.2,Two year,4872.35,No
17,20.75,One year,418.25,No
63,79.85,Two year,4861.45,No
13,76.2,Month-to-month,981.45,No
49,84.5,Month-to-month,3906.7,No
2,49.25,Month-to-month,97.0,No
2,80.65,Month-to-month,144.15,Yes
52,79.75,Two year,4217.8,No
69,64.15,Two year,4254.1,No
43,90.25,Month-to-month,3838.75,No
15,99.1,Month-to-month,1426.4,Yes
25,69.5,Month-to-month,1752.65,No
8,80.65,Month-to-month,633.3,Yes
60,74.85,One year,4456.35,No
18,95.45,Month-to-month,1752.55,Yes
63,99.65,One year,6311.2,No
66,108.45,One year,7076.35,No
34,24.95,Two year,894.3,No
72,107.5,Two year,7853.7,No
47,100.5,Month-to-month,4707.1,No
60,89.9,Month-to-month,5450.7,No
72,42.1,Two year,2962.0,No
18,54.4,One year,957.1,No
9,94.4,Month-to-month,857.25,Yes
3,75.3,Month-to-month,244.1,No
